F	A5	A4	A3	A2	A1	A0	T2	T1	T0	S3	S2	S1	S0
0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1	0	0	0	0	0	0	1
0	0	0	0	0	1	0	0	0	0	0	0	1	0
0	0	0	0	0	1	1	0	0	0	0	0	1	1
0	0	0	0	1	0	0	0	0	0	0	1	0	0
0	0	0	0	1	0	1	0	0	0	0	1	0	1
0	0	0	0	1	1	0	0	0	0	0	1	1	0
0	0	0	0	1	1	1	0	0	0	0	1	1	1
0	0	0	1	0	0	0	0	0	0	1	0	0	0
0	0	0	1	0	0	1	0	0	0	1	0	0	1
0	0	0	1	0	1	0	0	0	1	0	0	0	0
0	0	0	1	0	1	1	0	0	1	0	0	0	1
0	0	0	1	1	0	0	0	0	1	0	0	1	0
0	0	0	1	1	0	1	0	0	1	0	0	1	1
0	0	0	1	1	1	0	0	0	1	0	1	0	0
0	0	0	1	1	1	1	0	0	1	0	1	0	1
0	0	1	0	0	0	0	0	0	1	0	1	1	0
0	0	1	0	0	0	1	0	0	1	0	1	1	1
0	0	1	0	0	1	0	0	0	1	1	0	0	0
0	0	1	0	0	1	1	0	0	1	1	0	0	1
0	0	1	0	1	0	0	0	1	0	0	0	0	0
0	0	1	0	1	0	1	0	1	0	0	0	0	1
0	0	1	0	1	1	0	0	1	0	0	0	1	0
0	0	1	0	1	1	1	0	1	0	0	0	1	1
0	0	1	1	0	0	0	0	1	0	0	1	0	0
0	0	1	1	0	0	1	0	1	0	0	1	0	1
0	0	1	1	0	1	0	0	1	0	0	1	1	0
0	0	1	1	0	1	1	0	1	0	0	1	1	1
0	0	1	1	1	0	0	0	1	0	1	0	0	0
0	0	1	1	1	0	1	0	1	0	1	0	0	1
0	0	1	1	1	1	0	0	1	1	0	0	0	0
0	0	1	1	1	1	1	0	1	1	0	0	0	1
0	1	0	0	0	0	0	0	1	1	0	0	1	0
0	1	0	0	0	0	1	0	1	1	0	0	1	1
0	1	0	0	0	1	0	0	1	1	0	1	0	0
0	1	0	0	0	1	1	0	1	1	0	1	0	1
0	1	0	0	1	0	0	0	1	1	0	1	1	0
0	1	0	0	1	0	1	0	1	1	0	1	1	1
0	1	0	0	1	1	0	0	1	1	1	0	0	0
0	1	0	0	1	1	1	0	1	1	1	0	0	1
0	1	0	1	0	0	0	1	0	0	0	0	0	0
0	1	0	1	0	0	1	1	0	0	0	0	0	1
0	1	0	1	0	1	0	1	0	0	0	0	1	0
0	1	0	1	0	1	1	1	0	0	0	0	1	1
0	1	0	1	1	0	0	1	0	0	0	1	0	0
0	1	0	1	1	0	1	1	0	0	0	1	0	1
0	1	0	1	1	1	0	1	0	0	0	1	1	0
0	1	0	1	1	1	1	1	0	0	0	1	1	1
0	1	1	0	0	0	0	1	0	0	1	0	0	0
0	1	1	0	0	0	1	1	0	0	1	0	0	1
1	0	0	1	1	1	1	0	0	1	0	1	0	1
1	0	0	1	1	1	0	0	0	1	0	1	0	0
1	0	0	1	1	0	1	0	0	1	0	0	1	1
1	0	0	1	1	0	0	0	0	1	0	0	1	0
1	0	0	1	0	1	1	0	0	1	0	0	0	1
1	0	0	1	0	1	0	0	0	1	0	0	0	0
1	0	0	1	0	0	1	0	0	0	1	0	0	1
1	0	0	1	0	0	0	0	0	0	1	0	0	0
1	0	0	0	1	1	1	0	0	0	0	1	1	1
1	0	0	0	1	1	0	0	0	0	0	1	1	0
1	0	0	0	1	0	1	0	0	0	0	1	0	1
1	0	0	0	1	0	0	0	0	0	0	1	0	0
1	0	0	0	0	1	1	0	0	0	0	0	1	1
1	0	0	0	0	1	0	0	0	0	0	0	1	0
1	0	0	0	0	0	1	0	0	0	0	0	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	1	1	1	1	1	0	0	0	0	0	0	1
1	0	1	1	1	1	0	0	0	0	0	0	1	0
1	0	1	1	1	0	1	0	0	0	0	0	1	1
1	0	1	1	1	0	0	0	0	0	0	1	0	0
1	0	1	1	0	1	1	0	0	0	0	1	0	1
1	0	1	1	0	1	0	0	0	0	0	1	1	0
1	0	1	1	0	0	1	0	0	0	0	1	1	1
1	0	1	1	0	0	0	0	0	0	1	0	0	0
1	0	1	0	1	1	1	0	0	0	1	0	0	1
1	0	1	0	1	1	0	0	0	1	0	0	0	0
1	0	1	0	1	0	1	0	0	1	0	0	0	1
1	0	1	0	1	0	0	0	0	1	0	0	1	0
1	0	1	0	0	1	1	0	0	1	0	0	1	1
1	0	1	0	0	1	0	0	0	1	0	1	0	0
1	0	1	0	0	0	1	0	0	1	0	1	0	1
